"node","total_degree"
"MIM:620238","2"
"MIM:306950","2"
"MIM:611955","2"
"R-PFA-8953897","2"
"MIM:615134","2"
"R-SCE-9709957","2"
"map05031","2"
"R-MMU-4839726","2"
"MIM:608516","2"
"R-DME-4839726","2"
"MIM:312060","2"
"R-CEL-4839726","2"
"R-SPO-9709957","2"
"R-DDI-1500931","2"
"map04139","2"
"MIM:612371","2"
"R-SPO-8963743","2"
"R-GGA-9612973","2"
"MIM:619840","2"
"MIM:619789","2"
"MIM:211980","2"
"MIM:611868","2"
"MIM:619804","2"
"MIM:615011","2"
"R-DME-1474165","2"
"MIM:614090","2"
"MIM:613488","2"
"MIM:300854","2"
"MIM:614332","2"
"R-PFA-4839726","2"
"MIM:612229","2"
"R-SCE-8953897","2"
"R-PFA-1474244","2"
"R-SSC-9612973","2"
"MIM:608175","2"
"R-XTR-1474165","2"
"R-XTR-8953897","2"
"map05030","2"
"MIM:137245","2"
"R-MMU-9612973","2"
"R-SCE-5653656","2"
"MIM:620284","2"
"R-PFA-112316","2"
"MIM:620333","2"
"R-SPO-9612973","2"
"R-SPO-4839726","2"
"MIM:612522","2"
"map04212","2"
"MIM:614128","2"
"R-SSC-4839726","2"
"R-DDI-5653656","2"
"R-BTA-4839726","2"
"MIM:610698","2"
"R-PFA-397014","2"
"R-CEL-1474165","2"
"MIM:301052","2"
"MIM:259500","2"
"MIM:620332","2"
"MIM:613282","2"
"MIM:604906","2"
"R-XTR-1500931","2"
"MIM:620283","2"
"R-DRE-4839726","2"
"map05032","2"
"MIM:620177","2"
"R-CEL-8953897","2"
"R-DME-8953897","2"
"R-CEL-9612973","2"
"MIM:600320","2"
"R-DRE-9612973","2"
"R-DDI-8953897","2"
"MIM:619871","2"
"R-PFA-1474165","2"
"MIM:165720","2"
"R-XTR-4839726","2"
"MIM:620015","2"
"R-SPO-112316","2"
"R-XTR-9612973","2"
"R-CFA-4839726","2"
"R-SCE-9612973","2"
"R-DDI-1474165","2"
"R-DME-9612973","2"
"R-BTA-9612973","2"
"R-CFA-9612973","2"
"R-GGA-4839726","2"
"R-SPO-5653656","2"
"map04152","2"
"MIM:619872","2"
"MIM:611953","2"
"R-RNO-9612973","2"
"R-SCE-4839726","2"
"R-PFA-5653656","2"
"R-DDI-4839726","2"
"R-SPO-8953897","2"
"R-RNO-4839726","2"
"R-SPO-1474244","2"
"MIM:300909","2"
"MIM:611928","2"
"R-PFA-9612973","2"
"MIM:618077","2"
"MIM:612160","2"
"MIM:620102","2"
"MIM:619935","2"
"R-DDI-9612973","2"
"R-PFA-9709957","2"
"MIM:601877","2"
"MIM:619828","2"
"R-HSA-9669933","3"
"R-DME-1296025","3"
"R-HSA-9669914","3"
"R-BTA-9706019","3"
"C563818","3"
"R-SSC-77075","3"
"R-DDI-9673163","3"
"R-SPO-110373","3"
"R-DRE-5654733","3"
"R-HSA-5579002","3"
"R-XTR-9032500","3"
"R-GGA-70921","3"
"R-DDI-975578","3"
"R-DRE-9772755","3"
"R-BTA-156902","3"
"R-CFA-9758941","3"
"R-HSA-4085011","3"
"R-SSC-3214842","3"
"R-DDI-193993","3"
"R-DME-6803205","3"
"R-DRE-112307","3"
"R-CFA-1502540","3"
"R-XTR-8963898","3"
"R-BTA-8874177","3"
"R-DRE-399721","3"
"R-SCE-111931","3"
"R-DDI-9026766","3"
"R-XTR-8963743","3"
"R-SCE-425986","3"
"C536525","3"
"R-SCE-1299308","3"
"R-HSA-2206307","3"
"R-DME-166658","3"
"R-BTA-390247","3"
"R-DME-5686938","3"
"R-CFA-5654727","3"
"R-DME-73928","3"
"R-BTA-8941855","3"
"R-GGA-774815","3"
"R-SPO-418555","3"
"R-SSC-2514853","3"
"C563233","3"
"R-SSC-5250913","3"
"SMP0000746","3"
"R-DME-420499","3"
"R-BTA-420499","3"
"C536166","3"
"R-PFA-448424","3"
"R-GGA-69610","3"
"R-DME-112308","3"
"R-DRE-381119","3"
"C538646","3"
"R-DDI-6807047","3"
"R-SCE-2025928","3"
"R-DRE-438064","3"
"R-DRE-68882","3"
"R-GGA-141424","3"
"C564253","3"
"R-DRE-196757","3"
"R-DDI-391251","3"
"MIM:620195","3"
"R-HSA-5578995","3"
"R-DRE-168179","3"
"R-GGA-389359","3"
"R-DDI-173599","3"
"R-CEL-1852241","3"
"R-SCE-2161541","3"
"R-DRE-1253288","3"
"R-GGA-167044","3"
"R-XTR-774815","3"
"R-DRE-168142","3"
"R-BTA-379716","3"
"R-MTU-879325","3"
